Temperature,Sales
24.6,535
26.1,626
27.8,661
20.6,488
11.6,317
14.4,368
13.8,309
30.9,697
1,56
31.7,738
11.5,326
3.7,72
18.9,468
13.7,290
39.6,906
18.5,470
26,649
42.6,922
29.6,650
21.8,535
25.5,613
15.3,354
22.7,525
16.3,375
23.9,524
19,474
15.7,403
29.2,680
19.1,518
35.2,810
24.2,529
15.3,357
8.8,238
18.3,419
35.7,810
37.1,871
22.3,551
17.6,406
31.8,741
17.1,502
23.1,540
8.8,243
18.8,422
14.2,359
18.7,468
15.7,397
21,501
30.7,652
20.5,452
31.3,698
6.4,191
27.2,622
28.7,667
28,629
10.4,220
27.4,624
33.3,750
36.6,828
12.5,304
14.4,352
16.4,382
11.6,322
33.6,775
4,132
20.6,499
6.6,196
19.9,497
11.7,285
21.5,484
18.8,431
12.7,277
27.9,628
27,644
27.4,624
24.2,587
28.8,654
40.5,919
25.6,592
28.8,652
29.5,683
16.1,373
14.8,382
22.2,516
29.1,686
29.3,655
16.4,407
27.8,644
13.4,345
29.4,643
14.4,362
30.5,705
9.1,223
23.1,544
8.6,222
12.4,338
9.1,213
20.3,475
19.4,461
14.7,344
